"X","Y"
1,1510.80981828519
2,1510.80594337682
3,1510.81180025784
4,1510.80786486456
5,1510.81035336372
6,1510.80674551984
7,1510.80303195106
8,1510.80806078411
9,1510.81046067582
10,1510.81123577431
11,1510.80766154702
12,1510.80784899771
13,1510.80917756486
14,1510.80798725131
15,1510.81144636638
16,1510.80846151509
17,1510.80754262103
18,1510.81076124168
19,1510.80893436489
20,1510.80546773729
21,1510.80781261003
22,1510.81027715266
23,1510.80507156488
24,1510.80860870093
25,1510.80643181763
26,1510.80888584544
27,1510.81129512206
28,1510.8081476945
29,1510.81137220544
30,1510.81015863067
31,1510.81122293099
32,1510.80594181375
33,1510.80852555849
34,1510.8101288998
35,1510.81048467813
36,1510.80249976284
37,1510.81105805816
38,1510.81295641567
39,1510.80667206318
40,1510.80887950199
41,1510.80491505983
42,1510.80606556765
43,1510.81150352178
44,1510.79966049572
45,1510.80500991114
46,1510.80689676503
47,1510.80714097953
48,1510.80749793365
49,1510.80861791108
50,1510.81569414383
51,1510.81210103234
52,1510.80954196786
53,1510.80689622815
54,1510.81288449781
55,1510.80902793094
56,1510.8118304847
57,1510.81194970024
58,1510.80545063319
59,1510.80597292787
60,1510.80599331093
61,1510.81120431041
62,1510.80387276947
63,1510.80894343478
64,1510.80364504205
65,1510.80717763349
66,1510.81028813493
67,1510.80852974746
68,1510.81165840656
69,1510.80980823874
70,1510.80335142944
71,1510.80871948686
72,1510.80740574293
73,1510.80769665344
74,1510.80883684197
75,1510.81109843563
76,1510.81079833423
77,1510.81135306425
78,1510.80878289866
79,1510.81169064934
80,1510.80586693519
81,1510.80871662578
82,1510.80720448896
83,1510.80577956337
84,1510.80845282334
85,1510.80931244898
86,1510.80595178703
87,1510.80807466752
88,1510.8048073459
89,1510.8068774666
90,1510.80507020809
91,1510.80367337331
92,1510.80353777629
93,1510.80576658339
94,1510.80709135384
95,1510.80141395363
96,1510.80868710193
97,1510.80394716671
98,1510.80558663374
99,1510.80826370708
100,1510.80391548241
101,1510.8039550559
102,1510.80785277194
103,1510.80802254129
104,1510.8001699749
105,1510.80700583164
106,1510.80401598833
107,1510.80163006676
108,1510.80497800604
109,1510.80253025008
110,1510.80329387418
111,1510.80405231034
112,1510.8001464688
113,1510.8028649072
114,1510.79905409733
115,1510.80528988859
116,1510.79604636156
117,1510.80477960023
118,1510.80422567334
119,1510.79896195503
120,1510.80141372223
121,1510.80469670704
122,1510.80099582975
123,1510.80069285009
124,1510.80297607402
125,1510.79686282187
126,1510.80246158013
127,1510.80499472181
128,1510.80076177052
129,1510.80228568587
130,1510.8090647521
131,1510.79893733848
132,1510.79891437949
133,1510.80225800047
134,1510.80405581808
135,1510.79907908599
136,1510.80485733939
137,1510.80083775476
138,1510.80228408353
139,1510.8007461216
140,1510.80106298304
141,1510.7990457351
142,1510.79508698955
143,1510.79883137344
144,1510.80021245951
145,1510.80198305093
146,1510.80177471985
147,1510.8008319808
148,1510.80310590248
149,1510.80089990232
150,1510.80542756753
151,1510.79812898492
152,1510.79721655495
153,1510.80078897235
154,1510.79599874107
155,1510.80005261394
156,1510.79758245212
157,1510.79702698421
158,1510.79250249796
159,1510.79548411173
160,1510.79934619456
161,1510.79590955966
162,1510.79527966501
163,1510.79496504904
164,1510.80012907931
165,1510.79571480555
166,1510.79471496534
167,1510.79942648
168,1510.79286940343
169,1510.79670996989
170,1510.79382603398
171,1510.7952965704
172,1510.79380986604
173,1510.79985936237
174,1510.79268901947
175,1510.79354415008
176,1510.79729669572
177,1510.79469611516
178,1510.79516966903
179,1510.79038183381
180,1510.79150306546
181,1510.79173399203
182,1510.79566085
183,1510.79267782106
184,1510.79287730401
185,1510.79108269413
186,1510.79218876382
187,1510.79179045958
188,1510.79288225739
189,1510.79277441713
190,1510.78937755821
191,1510.79073813667
192,1510.79020692187
193,1510.79119936881
194,1510.79655589492
195,1510.79469655885
196,1510.79197315473
197,1510.79190713076
198,1510.79307863378
199,1510.78969663099
200,1510.79747909064
201,1510.79441615761
202,1510.79565334437
203,1510.7936533186
204,1510.79713833796
205,1510.79301692292
206,1510.79754899341
207,1510.79803344632
208,1510.79660002277
209,1510.79438686087
210,1510.79815565747
211,1510.79831161157
212,1510.79575257952
213,1510.79653951401
214,1510.79564783731
215,1510.7939593637
216,1510.7966300524
217,1510.79678731786
218,1510.79601984656
219,1510.79961287944
220,1510.79416999825
221,1510.79177138903
222,1510.79932995093
223,1510.78974438209
224,1510.79687908906
225,1510.79621735961
226,1510.79545717867
227,1510.79883647698
228,1510.79534117166
229,1510.79798641825
230,1510.79652633519
231,1510.79545740868
232,1510.79830507561
233,1510.79650731407
234,1510.79612005818
235,1510.79544683067
236,1510.79469183986
237,1510.79940496101
238,1510.79914749812
239,1510.7959251555
240,1510.79539425179
241,1510.79628989453
242,1510.79765648172
243,1510.79821906081
244,1510.79467069885
245,1510.79386350193
246,1510.79906321711
247,1510.79719652457
248,1510.79672711233
249,1510.79576074819
250,1510.79515641877
251,1510.79635013862
252,1510.7929423915
253,1510.79890983445
254,1510.79626138446
255,1510.78917832178
256,1510.79356964993
257,1510.79464188597
258,1510.79663820271
259,1510.79587583192
260,1510.79569713929
261,1510.79136627698
262,1510.78978898787
263,1510.79167091188
264,1510.79134132128
265,1510.79392400677
266,1510.78802867775
267,1510.79307135334
268,1510.79049192583
269,1510.79217481181
270,1510.79384520521
271,1510.7899527596
272,1510.79655283808
273,1510.79227576259
274,1510.79382582619
275,1510.78855332655
276,1510.78908654117
277,1510.7912357431
278,1510.79084867783
279,1510.79080786568
280,1510.79375542781
281,1510.79191599031
282,1510.79075045611
283,1510.79005700061
284,1510.79031133925
285,1510.78633689546
286,1510.78887462259
287,1510.79032520134
288,1510.78957576832
289,1510.78793538145
290,1510.79071047434
291,1510.79034175629
292,1510.78662688734
293,1510.78562811394
294,1510.79201326367
295,1510.79056820988
296,1510.78483909318
297,1510.7860326764
298,1510.78580232181
299,1510.78642103884
300,1510.7905834687
301,1510.78898209473
302,1510.78414459691
303,1510.78927367754
304,1510.78623674277
305,1510.78867791047
306,1510.78351379137
307,1510.79089847731
308,1510.78680769212
309,1510.78660180871
310,1510.78777127022
311,1510.78586805667
312,1510.78764790807
313,1510.78532028042
314,1510.78404970616
315,1510.7904011491
316,1510.78991171721
317,1510.78813140035
318,1510.78768497999
319,1510.78602697392
320,1510.79056418878
321,1510.78775645965
322,1510.78675077366
323,1510.78970001603
324,1510.79003546856
325,1510.79237190001
326,1510.7918741395
327,1510.78716527249
328,1510.79251021668
329,1510.78366209148
330,1510.79023504822
331,1510.78729512149
332,1510.79438036293
333,1510.78788419934
334,1510.78860668459
335,1510.79435666298
336,1510.79175340853
337,1510.79235472565
338,1510.79568003245
339,1510.79385324427
340,1510.79623092074
341,1510.79073705962
342,1510.79497371314
343,1510.79249570533
344,1510.79661284024
345,1510.79703024719
346,1510.79278014762
347,1510.79289567297
348,1510.79611394596
349,1510.7939396462
350,1510.79341679902
351,1510.79385472212
352,1510.79336990782
353,1510.79574012278
354,1510.79751598315
355,1510.79321267366
356,1510.79552587727
357,1510.7936387732
358,1510.79635202227
359,1510.79929293468
360,1510.79505058304
361,1510.79478649732
362,1510.79964690838
363,1510.79135699314
364,1510.79436496192
365,1510.79456203275
366,1510.79941401867
367,1510.79547163868
368,1510.79494296469
369,1510.79405991918
370,1510.79517749605
371,1510.79965936194
